KinArMFt;Terulet;Terasz;Szoba;Felszoba;Furdoszoba;Emelet;DeliTaj;Buda;Kerulet
10,7;32;0;1;0;1;2;0;1;1
10;32;0;1;0;1;2;0;1;1
10,5;32;0;1;0;1;2;0;1;1
12;34;0;1;0;1;1;1;1;1
13;34;0;1;0;1;1;1;1;1
13,9;35;0;1;0;1;0;1;1;1
17,2;43;0;2;0;1;1;0;1;1
15,9;44;3;1;0;1;2;0;1;1
13,9;46;0;2;1;1;3;1;1;1
18;47;0;1;0;1;2;0;1;1
14,9;47;3;1;0;1;2;0;1;1
20;47;0;2;0;1;1;0;1;1
15,5;48;0;2;1;1;0;0;1;1
28,9;50;15;2;1;1;1;1;1;1
19,9;50;0;3;0;1;1;1;1;1
15,9;51;0;1;0;1;2;1;1;1
16,5;52;3;2;0;1;3;1;1;1
20;53;0;2;0;1;0;1;1;1
17,3;55;0;2;0;1;2;0;1;1
17,9;56;0;2;0;1;1;0;1;1
16,9;56;0;2;0;1;2;0;1;1
20;57;0;1;0;1;3;0;1;1
20;57;0;1;0;1;3;0;1;1
18,9;58;0;2;0;1;5;0;1;1
17;58;0;3;1;1;1;1;1;1
28;58,5;0;2;0;1;0;1;1;1
25,9;59;8;2;1;1;5;1;1;1
16,8;62;0;3;1;1;2;0;1;1
27,8;64;7;2;0;1;0;1;1;1
26;65;0;2;0;1;0;0;1;1
21,2;66;2;2;0;1;3;1;1;1
18;70;3;2;0;1;1;1;1;1
20,5;70;4;3;1;1;2;0;1;1
21;74;0;2;0;1;3;0;1;1
26;80;0;2;0;1;0;0;1;1
33;80;25;3;1;1;0;1;1;1
58;80;0;4;1;2;0;1;1;1
26,5;81;0;4;1;1;1;0;1;1
26;82;4;2;0;1;1;0;1;1
33;84;0;3;1;1;3;0;1;1
25;84;15;3;0;1;1;0;1;1
44,9;84;0;4;2;1;1;0;1;1
27,9;88;0;2;0;1;0;1;1;1
23,9;88;5;3;1;1;1;1;1;1
25,5;89;0;3;1;1;3;1;1;1
25,9;92;0;4;0;1;0;1;1;1
33;94;3;2;1;1;2;0;1;1
37,5;94;2,6;3;1;1;2;0;1;1
56;100;18;3;0;1;3;1;1;1
39,9;101;0;3;0;1;3;1;1;1
26,9;101;0;4;1;1;3;1;1;1
36,5;105;4;3;0;1;4;1;1;1
39,8;110;7;3;0;1;2;0;1;1
35;110;3;4;0;1;3;1;1;1
32;112;0;3;0;1;1;1;1;1
87,5;120;8;3;0;2;1;0;1;1
36;121;0;3;0;1;1;0;1;1
39;121;0;4;0;2;0;0;1;1
75;122;0;2;2;2;3;0;1;1
39,5;123;0;5;0;2;1;0;1;1
55;127;0;3;1;2;2;1;1;1
51,5;134,25;5,8;6;1;2;3;0;1;1
56;160;12;5;0;1;2;1;1;1
49;169;0;4;0;3;4;1;1;1
9,6;29;0;1;0;1;0;0;1;2
10,5;30;0;1;0;1;2;0;1;2
13,2;36;0;1;0;1;2;0;1;2
12,2;36;0;1;0;1;3;0;1;2
11;39;0;2;0;1;0;0;1;2
14,8;41;0;1;0;1;1;1;1;2
14,9;42;0;2;1;1;3;0;1;2
14,5;43;0;1;0;1;0;0;1;2
12,7;43;0;2;1;1;2;0;1;2
14,9;44;0;2;1;0;0;0;1;2
13;46;0;2;0;0;0;1;1;2
31,5;47;5,5;2;0;1;2;1;1;2
23,4;47,5;6;2;1;1;1;0;1;2
15,7;48;2;1;0;1;3;1;1;2
15,3;49;0;2;0;1;0;1;1;2
24,9;50;8;2;1;1;0;1;1;2
18,4;50;0;2;0;1;3;0;1;2
16,6;50;0;2;0;1;4;0;1;2
14,9;50;0;2;0;1;3;0;1;2
12,5;50;0;2;1;1;0;1;1;2
19,9;50,5;4,3;2;1;1;2;0;1;2
14,6;51;0;1;0;1;3;0;1;2
26;52;0;2;0;1;1;0;1;2
24,6;52;0;2;0;1;0;1;1;2
19,8;52;0;3;0;1;2;0;1;2
20,8;54;0;2;0;1;0;0;1;2
30;55;18;1;0;1;0;1;1;2
21,9;55;0;2;0;1;0;0;1;2
18,6;55;0;3;0;1;1;0;1;2
23;56;2;2;0;1;3;1;1;2
22,5;56;6,3;2;0;1;1;1;1;2
17,8;57;2;1;0;1;4;0;1;2
33;57;24;2;1;1;2;0;1;2
25,5;58;4;2;0;1;2;0;1;2
23;58;0;2;0;1;0;1;1;2
18;58;0;2;0;1;3;1;1;2
20,4;58,5;4,5;3;2;1;2;0;1;2
21,5;60;4,5;2;0;1;3;0;1;2
17,5;60;0;2;0;1;5;0;1;2
22,9;60;6;3;2;1;2;1;1;2
22,7;60;4;3;0;1;2;1;1;2
17,5;62;0;2;0;1;3;1;1;2
23;62;7;3;2;1;4;0;1;2
30,5;63;6;2;0;1;1;0;1;2
28,4;63;5;2;0;1;1;0;1;2
25;63;3;2;0;1;3;1;1;2
29,5;64;11;2;0;1;2;0;1;2
26,5;64;6;2;1;1;1;1;1;2
21,8;64;6,2;2;0;1;1;1;1;2
23,3;64;9,5;3;1;1;0;1;1;2
24,9;65;5;2;0;1;1;0;1;2
38,2;65;6;3;1;1;0;1;1;2
34;66;8;2;1;1;1;1;1;2
44;67;10;3;1;2;4;1;1;2
29;67;50;4;3;1;0;0;1;2
19,6;68;0;2;0;0;4;0;1;2
27,5;68;0;2;0;1;0;1;1;2
19,7;68;1,5;2;0;1;1;1;1;2
23,2;68;0;3;1;1;3;0;1;2
27;68;11;3;0;1;1;1;1;2
26,9;70;4;2;1;1;1;0;1;2
44;70;50;2;0;1;0;1;1;2
23,5;70;2;2;0;1;4;0;1;2
18,5;70;0;2;0;2;0;0;1;2
33,2;70;1;3;0;1;5;1;1;2
24,9;70;10;3;1;1;7;0;1;2
24,8;70;8;3;1;1;9;1;1;2
36;71;16;2;0;1;0;0;1;2
23;72;0;2;0;1;2;0;1;2
32;73;5;3;1;1;2;0;1;2
