Date,HDTV_Google
2006-01-01,83
2006-02-01,66
2006-03-01,66
2006-04-01,55
2006-05-01,63
2006-06-01,64
2006-07-01,54
2006-08-01,58
2006-09-01,66
2006-10-01,67
2006-11-01,95
2006-12-01,100
2007-01-01,81
2007-02-01,70
2007-03-01,59
2007-04-01,55
2007-05-01,55
2007-06-01,50
2007-07-01,53
2007-08-01,54
2007-09-01,59
2007-10-01,57
2007-11-01,86
2007-12-01,84
2008-01-01,74
2008-02-01,60
2008-03-01,50
2008-04-01,46
2008-05-01,50
2008-06-01,46
2008-07-01,44
2008-08-01,49
2008-09-01,47
2008-10-01,46
2008-11-01,70
2008-12-01,77
2009-01-01,65
2009-02-01,49
2009-03-01,43
2009-04-01,40
2009-05-01,39
2009-06-01,40
2009-07-01,36
2009-08-01,43
2009-09-01,39
2009-10-01,39
2009-11-01,55
2009-12-01,57
2010-01-01,48
2010-02-01,44
2010-03-01,36
2010-04-01,33
2010-05-01,36
2010-06-01,32
2010-07-01,28
2010-08-01,30
2010-09-01,27
2010-10-01,28
2010-11-01,45
2010-12-01,40
2011-01-01,33
2011-02-01,28
2011-03-01,24
2011-04-01,23
2011-05-01,24
2011-06-01,22
2011-07-01,22
2011-08-01,23
2011-09-01,24
2011-10-01,24
2011-11-01,35
2011-12-01,31
2012-01-01,28
2012-02-01,25
2012-03-01,22
2012-04-01,22
2012-05-01,21
2012-06-01,20
2012-07-01,20
2012-08-01,19
2012-09-01,19
2012-10-01,19
2012-11-01,27
2012-12-01,22
2013-01-01,20
2013-02-01,18
2013-03-01,17
2013-04-01,17
2013-05-01,16
2013-06-01,16
2013-07-01,15
2013-08-01,16
2013-09-01,16
2013-10-01,15
2013-11-01,22
2013-12-01,20
2014-01-01,18
2014-02-01,15
2014-03-01,14
2014-04-01,15
2014-05-01,14
2014-06-01,14
2014-07-01,13
2014-08-01,13
2014-09-01,12
2014-10-01,12
2014-11-01,17
2014-12-01,15
2015-01-01,14
2015-02-01,12
2015-03-01,11
2015-04-01,12
2015-05-01,11
2015-06-01,10
2015-07-01,10
2015-08-01,11
2015-09-01,10
2015-10-01,10
2015-11-01,13
2015-12-01,12
2016-01-01,10
2016-02-01,10
2016-03-01,9
2016-04-01,9
2016-05-01,9
2016-06-01,9
2016-07-01,8
2016-08-01,8
2016-09-01,7
2016-10-01,8
2016-11-01,9
2016-12-01,9
